stage,tag,status,requires,matched_scalar,mode,seed,points_freeze_at,split_start,split_difference_lr,split_lr_scale,relative_rho,qh_lr_abs,qh_unfreeze_step,sites_lr_scale,geometry_frozen,config_sha256,git_commit,worker_gpu,run_id,wall_s,checkpoint_step,heldout_proj_psnr,vol_psnr,vol_ssim2d,vol_ssim3d,sobel_psnr,sobel_ssim,dice,cd,hd95,f1_1v,f1_2v,air_mae,air_p95,air_p99,air_fpr,halo_mae,side_occupancy,mu_plus_p99,mu_minus_p99,negative_side_density,nonfinite,eval_command,web_url,gate_outcome,notes
A,LC64A_scalar_F1500,complete,F0_real_point_freeze|AIR_eval|WEB,self,scalar,42,1500,-1,0,0,,,,0,true,ccc3e3525aa8039679720a0abb4ff1d90215128aea3807154c55e761df0dbb6b,0655a06,KW60898:RTX6000Ada:0,pid-1407635,,,,30.843584060668945,0.8646225657516666,0.8826547778745923,29.072765350341797,0.803109146023399,0.951805690084302,,,,,0.00055910978699103,0.002543314825743437,0.007770380936563015,0.0003406232853760297,0.005171517841517925,,,,false,false,python split_voxelize.py --model output/lc64_air_v1/LC64A_scalar_F1500/model.pt --resolution 256 --supersample 4 --blend_eps 0,http://orchestrator.hs.d0me.xyz:18765/,,
A,LC64A_relative0_F1500,complete,F0_real_point_freeze|AIR_eval|WEB,LC64A_scalar_F1500,relative,42,1500,0,0,0,0.5,,,0,true,,0655a06,KW60898:RTX6000Ada:0,,,,,30.975727081298828,0.8640725235273681,0.8818138487401208,29.196165084838867,0.8027971826990885,0.9514383234931726,,,,,0.00056380097521469,0.0026066049467772245,0.008075322955846786,0.0003944274439669581,0.00519967544823885,,,,false,false,python split_voxelize.py --model output/lc64_air_v1/LC64A_relative0_F1500/model.pt --resolution 256 --supersample 4 --blend_eps 0,http://orchestrator.hs.d0me.xyz:18765/,,
A,LC64A_independent0_F1500,running,E0_independent_sides|F0_real_point_freeze|AIR_eval|WEB,LC64A_scalar_F1500,independent,42,1500,0,0,0,,,,0,true,,0655a06,KW60898:RTX6000Ada:0,pid-3542877,,,,,,,,,,,,,,,,,,,,,,,,,http://orchestrator.hs.d0me.xyz:18765/,,
B,LC64B_relative_LR5e-5_F1500,queued,A_gate,LC64A_scalar_F1500,relative,42,1500,0,5e-5,0.01,0.5,,,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,LC64B_relative_LR2e-4_F1500,queued,A_gate,LC64A_scalar_F1500,relative,42,1500,0,2e-4,0.04,0.5,,,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,LC64B_relative_LR5e-4_F1500,queued,A_gate,LC64A_scalar_F1500,relative,42,1500,0,5e-4,0.10,0.5,,,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,LC64B_independent_LR5e-5_F1500,queued,A_gate|E0_independent_sides,LC64A_scalar_F1500,independent,42,1500,0,5e-5,0.01,,,,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,LC64B_independent_LR2e-4_F1500,queued,A_gate|E0_independent_sides,LC64A_scalar_F1500,independent,42,1500,0,2e-4,0.04,,,,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,LC64B_independent_LR5e-4_F1500,queued,A_gate|E0_independent_sides,LC64A_scalar_F1500,independent,42,1500,0,5e-4,0.10,,,,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,LC64C_relative_LR2e-3_F1500,queued,B_relative_winner,LC64A_scalar_F1500,relative,42,1500,0,2e-3,0.40,0.5,,,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,LC64C_independent_LR2e-3_F1500,queued,B_independent_winner|E0_independent_sides,LC64A_scalar_F1500,independent,42,1500,0,2e-3,0.40,,,,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,LC64D_scalar_F1500,reuse,A0,self,scalar,42,1500,-1,0,0,,,,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,LC64D_split_F1500,reuse,winner,LC64D_scalar_F1500,<winner_mode>,42,1500,0,<winner_lr>,<winner_scale>,<winner_rho>,,,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
